timestamp,architecture,layer,step,method,url,status,latency_ms,error
2025-12-05T12:31:50.670942,ms_go_mysql,frontend,open_frontend_login,GET,https://microservices.iqbalfadhil.biz.id/login,200,222.69,
2025-12-05T12:31:50.907810,ms_go_mysql,api_auth,login,POST,https://auth-microservices.iqbalfadhil.biz.id/api/auth/login,200,236.84,
2025-12-05T12:31:50.964203,ms_go_mysql,api_auth,me,GET,https://auth-microservices.iqbalfadhil.biz.id/api/auth/me?token=b296cadf-daa3-4961-86f0-c930731c290c,200,56.34,
2025-12-05T12:31:51.130706,ms_go_mysql,api_test,get_questions,GET,https://test-microservices.iqbalfadhil.biz.id/questions,200,166.48,
2025-12-05T12:31:51.211119,ms_go_mysql,api_test,submit_answers,POST,https://test-microservices.iqbalfadhil.biz.id/submit?token=b296cadf-daa3-4961-86f0-c930731c290c,200,80.35,
2025-12-05T12:31:50.608919,ms_go_mysql,frontend,open_frontend_login,GET,https://microservices.iqbalfadhil.biz.id/login,200,160.1,
2025-12-05T12:31:50.922567,ms_go_mysql,api_auth,login,POST,https://auth-microservices.iqbalfadhil.biz.id/api/auth/login,200,313.62,
2025-12-05T12:31:50.975490,ms_go_mysql,api_auth,me,GET,https://auth-microservices.iqbalfadhil.biz.id/api/auth/me?token=f0a1c695-864a-44d0-a8db-cf738e45eef4,200,52.9,
2025-12-05T12:31:51.139838,ms_go_mysql,api_test,get_questions,GET,https://test-microservices.iqbalfadhil.biz.id/questions,200,164.31,
2025-12-05T12:31:51.222101,ms_go_mysql,api_test,submit_answers,POST,https://test-microservices.iqbalfadhil.biz.id/submit?token=f0a1c695-864a-44d0-a8db-cf738e45eef4,200,82.11,
2025-12-05T12:31:50.654830,ms_go_mysql,frontend,open_frontend_login,GET,https://microservices.iqbalfadhil.biz.id/login,200,206.41,
2025-12-05T12:31:50.926644,ms_go_mysql,api_auth,login,POST,https://auth-microservices.iqbalfadhil.biz.id/api/auth/login,200,271.79,
2025-12-05T12:31:50.981845,ms_go_mysql,api_auth,me,GET,https://auth-microservices.iqbalfadhil.biz.id/api/auth/me?token=4415c1ea-9ccc-4308-aa1a-dc4f3328e63a,200,55.18,
2025-12-05T12:31:51.154236,ms_go_mysql,api_test,get_questions,GET,https://test-microservices.iqbalfadhil.biz.id/questions,200,172.37,
2025-12-05T12:31:51.239784,ms_go_mysql,api_test,submit_answers,POST,https://test-microservices.iqbalfadhil.biz.id/submit?token=4415c1ea-9ccc-4308-aa1a-dc4f3328e63a,200,85.43,
2025-12-05T12:31:50.668395,ms_go_mysql,frontend,open_frontend_login,GET,https://microservices.iqbalfadhil.biz.id/login,200,220.57,
2025-12-05T12:31:50.933486,ms_go_mysql,api_auth,login,POST,https://auth-microservices.iqbalfadhil.biz.id/api/auth/login,200,265.07,
2025-12-05T12:31:50.984100,ms_go_mysql,api_auth,me,GET,https://auth-microservices.iqbalfadhil.biz.id/api/auth/me?token=a384d68f-c5ef-4e4e-96f7-3ae661a0e61c,200,50.58,
2025-12-05T12:31:51.158660,ms_go_mysql,api_test,get_questions,GET,https://test-microservices.iqbalfadhil.biz.id/questions,200,174.49,
2025-12-05T12:31:51.241257,ms_go_mysql,api_test,submit_answers,POST,https://test-microservices.iqbalfadhil.biz.id/submit?token=a384d68f-c5ef-4e4e-96f7-3ae661a0e61c,200,82.53,
2025-12-05T12:31:50.638842,ms_go_mysql,frontend,open_frontend_login,GET,https://microservices.iqbalfadhil.biz.id/login,200,189.8,
2025-12-05T12:31:50.918847,ms_go_mysql,api_auth,login,POST,https://auth-microservices.iqbalfadhil.biz.id/api/auth/login,200,279.98,
2025-12-05T12:31:50.976227,ms_go_mysql,api_auth,me,GET,https://auth-microservices.iqbalfadhil.biz.id/api/auth/me?token=63c27fee-8133-46ed-8234-79e07d500b86,200,57.33,
2025-12-05T12:31:51.149931,ms_go_mysql,api_test,get_questions,GET,https://test-microservices.iqbalfadhil.biz.id/questions,200,173.69,
